sample_id,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,round3_answers_json
strategyqa_0022,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0022_trace.json,9,2,3,0,0,0,"{""1"": 1347, ""2"": 2728}",[]
strategyqa_0023,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0023_trace.json,9,2,3,0,0,0,"{""1"": 1554, ""2"": 3919}",[]
strategyqa_0024,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0024_trace.json,20,3,7,1,1,0,"{""1"": 1557, ""2"": 4158, ""3"": 8497}","[""false"", ""false"", ""false""]"
strategyqa_0025,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0025_trace.json,9,2,3,0,0,0,"{""1"": 1652, ""2"": 4274}",[]
strategyqa_0026,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0026_trace.json,20,3,7,1,1,0,"{""1"": 1549, ""2"": 4096, ""3"": 8451}","[""false"", ""false"", ""false""]"
strategyqa_0027,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0027_trace.json,9,2,3,0,0,0,"{""1"": 1324, ""2"": 2732}",[]
strategyqa_0028,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0028_trace.json,14,3,4,0,0,0,"{""1"": 1541, ""2"": 4007, ""3"": 3904}","[""true"", ""false"", ""true""]"
strategyqa_0029,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0029_trace.json,9,2,3,0,0,0,"{""1"": 1447, ""2"": 2889}",[]
strategyqa_0030,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0030_trace.json,9,2,3,0,0,0,"{""1"": 1522, ""2"": 2970}",[]
strategyqa_0031,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0031_trace.json,9,2,3,0,0,0,"{""1"": 1419, ""2"": 2796}",[]
strategyqa_0032,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0032_trace.json,9,2,3,0,0,0,"{""1"": 1514, ""2"": 3316}",[]
strategyqa_0033,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0033_trace.json,9,2,3,0,0,0,"{""1"": 1386, ""2"": 2816}",[]
strategyqa_0034,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0034_trace.json,9,2,3,0,0,0,"{""1"": 1428, ""2"": 2835}",[]
strategyqa_0035,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0035_trace.json,9,2,3,0,0,0,"{""1"": 1398, ""2"": 2818}",[]
strategyqa_0036,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0036_trace.json,15,2,6,1,1,0,"{""1"": 1706, ""2"": 8529}",[]
strategyqa_0037,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0037_trace.json,14,3,4,0,0,1,"{""1"": 1785, ""2"": 3934, ""3"": 3993}","[""false"", ""false"", ""false""]"
strategyqa_0038,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0038_trace.json,9,2,3,0,0,0,"{""1"": 1417, ""2"": 2801}",[]
strategyqa_0039,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0039_trace.json,9,2,3,0,0,0,"{""1"": 1417, ""2"": 2755}",[]
strategyqa_0040,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0040_trace.json,9,2,3,0,0,0,"{""1"": 1609, ""2"": 3022}",[]
strategyqa_0041,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0041_trace.json,9,2,3,0,0,0,"{""1"": 1444, ""2"": 2796}",[]
strategyqa_0042,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0042_trace.json,9,2,3,0,0,0,"{""1"": 1443, ""2"": 2933}",[]
strategyqa_0043,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0043_trace.json,9,2,3,0,0,0,"{""1"": 1348, ""2"": 2745}",[]
strategyqa_0044,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0044_trace.json,9,2,3,0,0,0,"{""1"": 1333, ""2"": 2768}",[]
strategyqa_0045,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0045_trace.json,9,2,3,0,0,0,"{""1"": 1338, ""2"": 2810}",[]
strategyqa_0046,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0046_trace.json,9,2,3,0,0,0,"{""1"": 1400, ""2"": 2788}",[]
strategyqa_0047,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0047_trace.json,9,2,3,0,0,0,"{""1"": 1495, ""2"": 3011}",[]
strategyqa_0048,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0048_trace.json,9,2,3,0,0,0,"{""1"": 1321, ""2"": 2720}",[]
strategyqa_0049,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0049_trace.json,24,5,6,0,0,0,"{""1"": 1360, ""2"": 2760, ""3"": 2838, ""4"": 2813, ""5"": 2802}","[""true"", ""true"", ""true""]"
strategyqa_0050,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0050_trace.json,14,3,4,0,0,0,"{""1"": 1404, ""2"": 2790, ""3"": 2944}","[""true"", ""true"", ""true""]"
strategyqa_0051,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0051_trace.json,9,2,3,0,0,0,"{""1"": 1357, ""2"": 2756}",[]
strategyqa_0052,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0052_trace.json,24,5,6,0,0,0,"{""1"": 1345, ""2"": 2751, ""3"": 2768, ""4"": 2780, ""5"": 2739}","[""true"", ""true"", ""true""]"
strategyqa_0053,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0053_trace.json,15,2,6,1,1,0,"{""1"": 1443, ""2"": 7018}",[]
strategyqa_0054,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0054_trace.json,9,2,3,0,0,0,"{""1"": 1363, ""2"": 2832}",[]
strategyqa_0055,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0055_trace.json,9,2,3,0,0,0,"{""1"": 1457, ""2"": 3520}",[]
strategyqa_0056,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0056_trace.json,9,2,3,0,0,0,"{""1"": 1346, ""2"": 2722}",[]
strategyqa_0057,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0057_trace.json,20,3,7,1,1,0,"{""1"": 1458, ""2"": 3843, ""3"": 8449}","[""false"", ""false"", ""false""]"
strategyqa_0058,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0058_trace.json,9,2,3,0,0,0,"{""1"": 1372, ""2"": 3169}",[]
strategyqa_0059,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0059_trace.json,15,2,6,1,1,0,"{""1"": 1661, ""2"": 6689}",[]
strategyqa_0060,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0060_trace.json,9,2,3,0,0,0,"{""1"": 1513, ""2"": 2780}",[]
strategyqa_0061,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0061_trace.json,9,2,3,0,0,0,"{""1"": 1426, ""2"": 2863}",[]
strategyqa_0062,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0062_trace.json,9,2,3,0,0,0,"{""1"": 1396, ""2"": 2844}",[]
strategyqa_0063,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0063_trace.json,9,2,3,0,0,0,"{""1"": 1395, ""2"": 2728}",[]
strategyqa_0064,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0064_trace.json,9,2,3,0,0,0,"{""1"": 1398, ""2"": 2761}",[]
strategyqa_0065,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0065_trace.json,9,2,3,0,0,0,"{""1"": 1320, ""2"": 2746}",[]
strategyqa_0066,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0066_trace.json,9,2,3,0,0,0,"{""1"": 1477, ""2"": 3075}",[]
strategyqa_0067,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0067_trace.json,9,2,3,0,0,0,"{""1"": 1403, ""2"": 2757}",[]
strategyqa_0068,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0068_trace.json,9,2,3,0,0,0,"{""1"": 1408, ""2"": 2756}",[]
strategyqa_0069,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0069_trace.json,9,2,3,0,0,0,"{""1"": 1466, ""2"": 3228}",[]
strategyqa_0071,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0071_trace.json,9,2,3,0,0,0,"{""1"": 1421, ""2"": 3344}",[]
strategyqa_0072,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0072_trace.json,9,2,3,0,0,0,"{""1"": 1329, ""2"": 2756}",[]
strategyqa_0073,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0073_trace.json,9,2,3,0,0,0,"{""1"": 1732, ""2"": 4567}",[]
strategyqa_0074,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0074_trace.json,9,2,3,0,0,0,"{""1"": 1492, ""2"": 2945}",[]
strategyqa_0075,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0075_trace.json,9,2,3,0,0,0,"{""1"": 1398, ""2"": 2819}",[]
strategyqa_0076,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0076_trace.json,15,2,6,1,1,0,"{""1"": 1398, ""2"": 5602}",[]
strategyqa_0077,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0077_trace.json,20,3,7,1,2,0,"{""1"": 1640, ""2"": 7929, ""3"": 3379}","[""false"", ""false"", ""false""]"
strategyqa_0078,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0078_trace.json,9,2,3,0,0,0,"{""1"": 1576, ""2"": 3877}",[]
strategyqa_0079,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0079_trace.json,9,2,3,0,0,0,"{""1"": 1477, ""2"": 3127}",[]
strategyqa_0080,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0080_trace.json,15,2,6,1,1,0,"{""1"": 1540, ""2"": 7072}",[]
strategyqa_0081,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0081_trace.json,9,2,3,0,0,0,"{""1"": 1476, ""2"": 2876}",[]
strategyqa_0082,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0082_trace.json,9,2,3,0,0,0,"{""1"": 1376, ""2"": 2750}",[]
strategyqa_0083,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0083_trace.json,9,2,3,0,0,0,"{""1"": 1342, ""2"": 2734}",[]
strategyqa_0084,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0084_trace.json,9,2,3,0,0,0,"{""1"": 1387, ""2"": 2790}",[]
strategyqa_0085,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0085_trace.json,9,2,3,0,0,0,"{""1"": 1485, ""2"": 3847}",[]
strategyqa_0086,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0086_trace.json,9,2,3,0,0,0,"{""1"": 1506, ""2"": 2903}",[]
strategyqa_0087,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0087_trace.json,20,3,7,1,1,0,"{""1"": 1613, ""2"": 3806, ""3"": 6996}","[""false"", ""true"", ""true""]"
strategyqa_0088,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0088_trace.json,20,3,7,1,1,0,"{""1"": 1364, ""2"": 2893, ""3"": 5878}","[""true"", ""true"", ""true""]"
strategyqa_0089,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0089_trace.json,9,2,3,0,0,0,"{""1"": 1414, ""2"": 2837}",[]
strategyqa_0090,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0090_trace.json,9,2,3,0,0,0,"{""1"": 1328, ""2"": 2764}",[]
strategyqa_0091,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0091_trace.json,9,2,3,0,0,0,"{""1"": 1358, ""2"": 2766}",[]
strategyqa_0092,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0092_trace.json,9,2,3,0,0,0,"{""1"": 1530, ""2"": 3931}",[]
strategyqa_0093,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0093_trace.json,9,2,3,0,0,0,"{""1"": 1330, ""2"": 2843}",[]
strategyqa_0094,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0094_trace.json,9,2,3,0,0,0,"{""1"": 1426, ""2"": 2822}",[]
strategyqa_0095,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0095_trace.json,9,2,3,0,0,0,"{""1"": 1636, ""2"": 4323}",[]
strategyqa_0096,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0096_trace.json,9,2,3,0,0,0,"{""1"": 1609, ""2"": 3855}",[]
strategyqa_0097,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0097_trace.json,9,2,3,0,0,0,"{""1"": 1324, ""2"": 2758}",[]
strategyqa_0098,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0098_trace.json,9,2,3,0,0,0,"{""1"": 1357, ""2"": 2774}",[]
strategyqa_0099,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0099_trace.json,9,2,3,0,0,0,"{""1"": 1361, ""2"": 2834}",[]
strategyqa_0100,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0100_trace.json,9,2,3,0,0,0,"{""1"": 1602, ""2"": 3912}",[]
strategyqa_0101,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0101_trace.json,9,2,3,0,0,0,"{""1"": 1413, ""2"": 2852}",[]
strategyqa_0102,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0102_trace.json,9,2,3,0,0,0,"{""1"": 1317, ""2"": 2674}",[]
strategyqa_0103,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0103_trace.json,9,2,3,0,0,0,"{""1"": 1378, ""2"": 2816}",[]
strategyqa_0104,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0104_trace.json,15,2,6,1,1,0,"{""1"": 1848, ""2"": 8337}",[]
strategyqa_0105,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0105_trace.json,15,2,6,1,1,0,"{""1"": 1636, ""2"": 5843}",[]
strategyqa_0106,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0106_trace.json,20,3,7,1,2,0,"{""1"": 1594, ""2"": 7921, ""3"": 3535}","[""false"", ""false"", ""false""]"
strategyqa_0107,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0107_trace.json,9,2,3,0,0,0,"{""1"": 1386, ""2"": 2823}",[]
strategyqa_0108,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0108_trace.json,9,2,3,0,0,0,"{""1"": 1404, ""2"": 2751}",[]
strategyqa_0109,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0109_trace.json,9,2,3,0,0,0,"{""1"": 1381, ""2"": 2732}",[]
strategyqa_0110,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0110_trace.json,9,2,3,0,0,0,"{""1"": 1385, ""2"": 2892}",[]
strategyqa_0111,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0111_trace.json,9,2,3,0,0,0,"{""1"": 1397, ""2"": 2728}",[]
strategyqa_0112,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0112_trace.json,15,2,6,1,1,0,"{""1"": 1590, ""2"": 7800}",[]
strategyqa_0113,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0113_trace.json,9,2,3,0,0,0,"{""1"": 1442, ""2"": 2832}",[]
strategyqa_0114,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0114_trace.json,9,2,3,0,0,0,"{""1"": 1440, ""2"": 2879}",[]
strategyqa_0115,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0115_trace.json,15,2,6,1,1,0,"{""1"": 1425, ""2"": 6515}",[]
strategyqa_0116,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0116_trace.json,9,2,3,0,0,0,"{""1"": 1417, ""2"": 2798}",[]
strategyqa_0117,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0117_trace.json,30,5,9,1,2,0,"{""1"": 1341, ""2"": 2910, ""3"": 3397, ""4"": 8662, ""5"": 3940}","[""false"", ""true"", ""true""]"
strategyqa_0118,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0118_trace.json,9,2,3,0,0,0,"{""1"": 1453, ""2"": 2926}",[]
strategyqa_0119,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0119_trace.json,9,2,3,0,0,0,"{""1"": 1374, ""2"": 2814}",[]
strategyqa_0120,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0120_trace.json,9,2,3,0,0,0,"{""1"": 1411, ""2"": 3524}",[]
strategyqa_0121,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0121_trace.json,15,2,6,1,1,0,"{""1"": 1552, ""2"": 7650}",[]
strategyqa_0122,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0122_trace.json,9,2,3,0,0,0,"{""1"": 1364, ""2"": 2751}",[]
strategyqa_0123,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0123_trace.json,9,2,3,0,0,0,"{""1"": 1354, ""2"": 2774}",[]
strategyqa_0124,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0124_trace.json,9,2,3,0,0,0,"{""1"": 1371, ""2"": 2744}",[]
strategyqa_0125,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0125_trace.json,9,2,3,0,0,0,"{""1"": 1441, ""2"": 2875}",[]
strategyqa_0126,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0126_trace.json,14,3,4,0,0,0,"{""1"": 1581, ""2"": 4274, ""3"": 3812}","[""false"", ""false"", ""false""]"
strategyqa_0127,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0127_trace.json,20,3,7,1,1,0,"{""1"": 1546, ""2"": 3922, ""3"": 7579}","[""false"", ""false"", ""false""]"
strategyqa_0128,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0128_trace.json,9,2,3,0,0,0,"{""1"": 1370, ""2"": 2752}",[]
strategyqa_0129,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0129_trace.json,9,2,3,0,0,0,"{""1"": 1373, ""2"": 2796}",[]
strategyqa_0130,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0130_trace.json,9,2,3,0,0,0,"{""1"": 1335, ""2"": 2935}",[]
strategyqa_0131,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0131_trace.json,9,2,3,0,0,0,"{""1"": 1363, ""2"": 2773}",[]
strategyqa_0132,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0132_trace.json,9,2,3,0,0,0,"{""1"": 1390, ""2"": 2779}",[]
strategyqa_0133,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0133_trace.json,9,2,3,0,0,0,"{""1"": 1388, ""2"": 2830}",[]
strategyqa_0134,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0134_trace.json,9,2,3,0,0,0,"{""1"": 1398, ""2"": 2772}",[]
strategyqa_0135,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0135_trace.json,9,2,3,0,0,0,"{""1"": 1423, ""2"": 3149}",[]
strategyqa_0136,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0136_trace.json,24,5,6,0,0,0,"{""1"": 1667, ""2"": 4307, ""3"": 4179, ""4"": 2924, ""5"": 2872}","[""true"", ""true"", ""true""]"
strategyqa_0137,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0137_trace.json,9,2,3,0,0,1,"{""1"": 1431, ""2"": 2922}",[]
strategyqa_0138,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0138_trace.json,9,2,3,0,0,0,"{""1"": 1354, ""2"": 2776}",[]
strategyqa_0139,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0139_trace.json,9,2,3,0,0,0,"{""1"": 1400, ""2"": 2825}",[]
strategyqa_0140,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0140_trace.json,9,2,3,0,0,0,"{""1"": 1355, ""2"": 2771}",[]
strategyqa_0141,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0141_trace.json,9,2,3,0,0,0,"{""1"": 1308, ""2"": 2770}",[]
strategyqa_0142,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0142_trace.json,9,2,3,0,0,0,"{""1"": 1357, ""2"": 2767}",[]
strategyqa_0143,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0143_trace.json,9,2,3,0,0,0,"{""1"": 1359, ""2"": 2776}",[]
strategyqa_0144,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0144_trace.json,9,2,3,0,0,0,"{""1"": 1403, ""2"": 2769}",[]
