sample_id,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,round3_answers_json
gsm8k_0021,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0021_trace.json,9,2,3,0,0,0,"{""1"": 1599, ""2"": 3080}",[]
gsm8k_0022,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0022_trace.json,9,2,3,0,0,0,"{""1"": 1517, ""2"": 2914}",[]
gsm8k_0023,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0023_trace.json,9,2,3,0,0,0,"{""1"": 1968, ""2"": 3367}",[]
gsm8k_0024,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0024_trace.json,9,2,3,0,0,0,"{""1"": 1496, ""2"": 2911}",[]
gsm8k_0025,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0025_trace.json,9,2,3,0,0,0,"{""1"": 1748, ""2"": 3196}",[]
gsm8k_0026,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0026_trace.json,30,5,9,1,2,0,"{""1"": 1649, ""2"": 3315, ""3"": 3159, ""4"": 6954, ""5"": 3181}","[""110"", ""110"", ""110""]"
gsm8k_0027,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0027_trace.json,9,2,3,0,0,0,"{""1"": 1492, ""2"": 2974}",[]
gsm8k_0028,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0028_trace.json,14,3,4,0,0,0,"{""1"": 1600, ""2"": 3713, ""3"": 4392}","[""192"", ""192"", ""192""]"
gsm8k_0029,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0029_trace.json,14,3,4,0,0,0,"{""1"": 1692, ""2"": 3099, ""3"": 3110}","[""8"", ""8"", ""8""]"
gsm8k_0030,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0030_trace.json,9,2,3,0,0,0,"{""1"": 1831, ""2"": 3273}",[]
gsm8k_0031,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0031_trace.json,9,2,3,0,0,0,"{""1"": 1873, ""2"": 3088}",[]
gsm8k_0032,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0032_trace.json,14,3,4,0,0,0,"{""1"": 1744, ""2"": 4036, ""3"": 4008}","[""1920"", ""1440"", ""1200""]"
gsm8k_0033,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0033_trace.json,14,3,4,0,0,0,"{""1"": 1706, ""2"": 3665, ""3"": 4216}","[""10"", ""10"", ""10""]"
gsm8k_0034,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0034_trace.json,9,2,3,0,0,0,"{""1"": 1734, ""2"": 3173}",[]
gsm8k_0035,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0035_trace.json,9,2,3,0,0,0,"{""1"": 1640, ""2"": 3286}",[]
gsm8k_0036,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0036_trace.json,9,2,3,0,0,0,"{""1"": 1594, ""2"": 3060}",[]
gsm8k_0037,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0037_trace.json,9,2,3,0,0,0,"{""1"": 1555, ""2"": 2991}",[]
gsm8k_0038,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0038_trace.json,15,2,6,1,1,0,"{""1"": 1615, ""2"": 7630}",[]
gsm8k_0039,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0039_trace.json,9,2,3,0,0,0,"{""1"": 1582, ""2"": 3270}",[]
gsm8k_0040,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0040_trace.json,25,4,8,1,3,0,"{""1"": 1549, ""2"": 6346, ""3"": 3812, ""4"": 3932}","[""15"", ""15"", ""15""]"
gsm8k_0041,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0041_trace.json,9,2,3,0,0,0,"{""1"": 1722, ""2"": 4132}",[]
gsm8k_0042,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0042_trace.json,9,2,3,0,0,0,"{""1"": 1642, ""2"": 3169}",[]
gsm8k_0043,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0043_trace.json,14,3,4,0,0,0,"{""1"": 1569, ""2"": 3439, ""3"": 4253}","[""99"", ""75"", ""66""]"
gsm8k_0044,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0044_trace.json,9,2,3,0,0,0,"{""1"": 1710, ""2"": 3337}",[]
gsm8k_0045,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0045_trace.json,9,2,3,0,0,0,"{""1"": 1820, ""2"": 3375}",[]
gsm8k_0046,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0046_trace.json,15,2,6,1,1,0,"{""1"": 1569, ""2"": 6880}",[]
gsm8k_0047,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0047_trace.json,14,3,4,0,0,0,"{""1"": 1839, ""2"": 3075, ""3"": 3071}","[""1920"", ""1920"", ""1920""]"
gsm8k_0048,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0048_trace.json,14,3,4,0,0,0,"{""1"": 1884, ""2"": 4263, ""3"": 4105}","[""15"", ""15"", ""15""]"
gsm8k_0049,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0049_trace.json,9,2,3,0,0,0,"{""1"": 1580, ""2"": 3177}",[]
gsm8k_0050,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0050_trace.json,9,2,3,0,0,0,"{""1"": 1593, ""2"": 3170}",[]
gsm8k_0051,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0051_trace.json,9,2,3,0,0,0,"{""1"": 1894, ""2"": 3642}",[]
gsm8k_0052,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0052_trace.json,9,2,3,0,0,0,"{""1"": 1489, ""2"": 2953}",[]
gsm8k_0053,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0053_trace.json,9,2,3,0,0,0,"{""1"": 1747, ""2"": 3135}",[]
gsm8k_0054,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0054_trace.json,9,2,3,0,0,0,"{""1"": 1557, ""2"": 3103}",[]
gsm8k_0055,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0055_trace.json,20,3,7,1,2,0,"{""1"": 1586, ""2"": 6681, ""3"": 4345}","[""11"", ""11"", ""11""]"
gsm8k_0056,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0056_trace.json,9,2,3,0,0,0,"{""1"": 1693, ""2"": 3064}",[]
gsm8k_0057,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0057_trace.json,20,3,7,1,1,0,"{""1"": 1849, ""2"": 3972, ""3"": 7781}","[""45"", ""45"", ""45""]"
gsm8k_0058,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0058_trace.json,9,2,3,0,0,0,"{""1"": 1481, ""2"": 2899}",[]
gsm8k_0059,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0059_trace.json,30,5,9,1,4,0,"{""1"": 1579, ""2"": 7843, ""3"": 4188, ""4"": 4096, ""5"": 3753}","[""560"", ""320"", ""240""]"
gsm8k_0060,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0060_trace.json,25,4,8,1,3,0,"{""1"": 1731, ""2"": 7600, ""3"": 4601, ""4"": 4345}","[""120"", ""120"", ""110""]"
gsm8k_0061,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0061_trace.json,9,2,3,0,0,0,"{""1"": 1848, ""2"": 3644}",[]
gsm8k_0062,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0062_trace.json,9,2,3,0,0,0,"{""1"": 2223, ""2"": 3489}",[]
gsm8k_0063,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0063_trace.json,9,2,3,0,0,0,"{""1"": 1593, ""2"": 3732}",[]
gsm8k_0064,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0064_trace.json,9,2,3,0,0,0,"{""1"": 1582, ""2"": 3082}",[]
gsm8k_0065,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0065_trace.json,20,3,7,1,1,0,"{""1"": 1488, ""2"": 3351, ""3"": 7710}","[""840"", ""840"", ""840""]"
gsm8k_0066,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0066_trace.json,9,2,3,0,0,0,"{""1"": 1514, ""2"": 3402}",[]
gsm8k_0067,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0067_trace.json,9,2,3,0,0,0,"{""1"": 1702, ""2"": 4697}",[]
gsm8k_0068,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0068_trace.json,9,2,3,0,0,0,"{""1"": 1916, ""2"": 4136}",[]
gsm8k_0069,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0069_trace.json,15,2,6,1,1,0,"{""1"": 1587, ""2"": 7547}",[]
gsm8k_0070,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0070_trace.json,9,2,3,0,0,0,"{""1"": 1517, ""2"": 2900}",[]
gsm8k_0071,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0071_trace.json,15,2,6,1,1,0,"{""1"": 1678, ""2"": 6564}",[]
gsm8k_0072,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0072_trace.json,9,2,3,0,0,0,"{""1"": 1518, ""2"": 3231}",[]
gsm8k_0073,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0073_trace.json,25,4,8,1,1,0,"{""1"": 1597, ""2"": 3108, ""3"": 3263, ""4"": 7167}","[""18"", ""18"", ""54""]"
gsm8k_0074,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0074_trace.json,9,2,3,0,0,0,"{""1"": 1632, ""2"": 3159}",[]
gsm8k_0075,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0075_trace.json,9,2,3,0,0,0,"{""1"": 1822, ""2"": 3349}",[]
gsm8k_0076,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0076_trace.json,14,3,4,0,0,0,"{""1"": 1497, ""2"": 3167, ""3"": 3169}","[""15"", ""10"", ""15""]"
gsm8k_0077,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0077_trace.json,15,2,6,1,1,0,"{""1"": 1686, ""2"": 7418}",[]
gsm8k_0078,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0078_trace.json,9,2,3,0,0,0,"{""1"": 1451, ""2"": 3194}",[]
gsm8k_0079,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0079_trace.json,15,2,6,1,1,0,"{""1"": 1683, ""2"": 6532}",[]
gsm8k_0080,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0080_trace.json,24,5,6,0,0,0,"{""1"": 1515, ""2"": 2995, ""3"": 2909, ""4"": 2966, ""5"": 2950}","[""70"", ""70"", ""70""]"
gsm8k_0081,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0081_trace.json,15,2,6,1,1,0,"{""1"": 1673, ""2"": 7304}",[]
gsm8k_0082,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0082_trace.json,9,2,3,0,0,0,"{""1"": 1654, ""2"": 3516}",[]
gsm8k_0083,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0083_trace.json,9,2,3,0,0,0,"{""1"": 1555, ""2"": 3213}",[]
gsm8k_0084,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0084_trace.json,25,4,8,1,3,0,"{""1"": 1569, ""2"": 6681, ""3"": 2926, ""4"": 2895}","[""26"", ""26"", ""26""]"
gsm8k_0085,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0085_trace.json,14,3,4,0,0,0,"{""1"": 1508, ""2"": 3152, ""3"": 3133}","[""90"", ""90"", ""90""]"
gsm8k_0086,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0086_trace.json,9,2,3,0,0,0,"{""1"": 1636, ""2"": 3200}",[]
gsm8k_0087,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0087_trace.json,24,5,6,0,0,0,"{""1"": 1804, ""2"": 3960, ""3"": 3977, ""4"": 3008, ""5"": 2963}","[""6"", ""6"", ""6""]"
gsm8k_0088,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0088_trace.json,15,2,6,1,1,0,"{""1"": 1724, ""2"": 6746}",[]
gsm8k_0089,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0089_trace.json,14,3,4,0,0,0,"{""1"": 1662, ""2"": 3165, ""3"": 3189}","[""258"", ""258"", ""258""]"
gsm8k_0090,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0090_trace.json,9,2,3,0,0,0,"{""1"": 1635, ""2"": 4137}",[]
gsm8k_0091,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0091_trace.json,9,2,3,0,0,0,"{""1"": 1850, ""2"": 3529}",[]
gsm8k_0092,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0092_trace.json,14,3,4,0,0,0,"{""1"": 1747, ""2"": 4217, ""3"": 4392}","[""10"", ""11.67"", ""8.33""]"
gsm8k_0093,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0093_trace.json,15,2,6,1,1,0,"{""1"": 1671, ""2"": 8063}",[]
gsm8k_0094,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0094_trace.json,9,2,3,0,0,0,"{""1"": 1463, ""2"": 3193}",[]
gsm8k_0095,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0095_trace.json,9,2,3,0,0,0,"{""1"": 1574, ""2"": 2944}",[]
gsm8k_0096,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0096_trace.json,20,3,7,1,2,0,"{""1"": 1556, ""2"": 8285, ""3"": 4304}","[""64"", ""64"", ""64""]"
gsm8k_0097,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0097_trace.json,14,3,4,0,0,0,"{""1"": 1527, ""2"": 3439, ""3"": 4010}","[""126"", ""126"", ""126""]"
gsm8k_0098,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0098_trace.json,9,2,3,0,0,0,"{""1"": 1623, ""2"": 3370}",[]
gsm8k_0099,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0099_trace.json,14,3,4,0,0,0,"{""1"": 1555, ""2"": 3031, ""3"": 3032}","[""30"", ""30"", ""30""]"
gsm8k_0100,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0100_trace.json,20,3,7,1,1,0,"{""1"": 2256, ""2"": 4311, ""3"": 8678}","[""15"", ""1"", ""15""]"
gsm8k_0101,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0101_trace.json,30,5,9,1,4,0,"{""1"": 1453, ""2"": 6588, ""3"": 3887, ""4"": 3882, ""5"": 3538}","[""24"", ""24"", ""24""]"
gsm8k_0102,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0102_trace.json,15,2,6,1,1,0,"{""1"": 1765, ""2"": 7060}",[]
gsm8k_0103,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0103_trace.json,14,3,4,0,0,0,"{""1"": 1776, ""2"": 4431, ""3"": 4209}","[""25"", ""25"", ""25""]"
gsm8k_0104,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0104_trace.json,25,4,8,1,3,0,"{""1"": 1681, ""2"": 7426, ""3"": 3913, ""4"": 3776}","[""366"", ""366"", ""366""]"
gsm8k_0105,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0105_trace.json,24,5,6,0,0,0,"{""1"": 1519, ""2"": 2919, ""3"": 2947, ""4"": 3042, ""5"": 3009}","[""96"", ""96"", ""96""]"
gsm8k_0106,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0106_trace.json,19,4,5,0,0,0,"{""1"": 1516, ""2"": 3181, ""3"": 3219, ""4"": 3101}","[""320"", ""320"", ""320""]"
gsm8k_0107,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0107_trace.json,9,2,3,0,0,0,"{""1"": 1538, ""2"": 2857}",[]
gsm8k_0108,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0108_trace.json,9,2,3,0,0,0,"{""1"": 1641, ""2"": 3378}",[]
gsm8k_0109,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0109_trace.json,15,2,6,1,1,0,"{""1"": 1720, ""2"": 6536}",[]
gsm8k_0110,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0110_trace.json,9,2,3,0,0,0,"{""1"": 1744, ""2"": 3152}",[]
gsm8k_0111,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0111_trace.json,9,2,3,0,0,0,"{""1"": 2058, ""2"": 3599}",[]
gsm8k_0112,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0112_trace.json,14,3,4,0,0,0,"{""1"": 1547, ""2"": 3108, ""3"": 3074}","[""6"", ""6"", ""6""]"
gsm8k_0113,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0113_trace.json,24,5,6,0,0,0,"{""1"": 1896, ""2"": 3355, ""3"": 3458, ""4"": 3365, ""5"": 3276}","[""920"", ""920"", ""920""]"
gsm8k_0114,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0114_trace.json,15,2,6,1,1,0,"{""1"": 1862, ""2"": 6677}",[]
gsm8k_0115,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0115_trace.json,9,2,3,0,0,0,"{""1"": 1634, ""2"": 3838}",[]
gsm8k_0116,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0116_trace.json,9,2,3,0,0,0,"{""1"": 1765, ""2"": 3824}",[]
gsm8k_0117,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0117_trace.json,9,2,3,0,0,0,"{""1"": 1740, ""2"": 3253}",[]
gsm8k_0118,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0118_trace.json,20,3,7,1,2,0,"{""1"": 2089, ""2"": 8152, ""3"": 3541}","[""34"", ""14"", ""36""]"
gsm8k_0119,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0119_trace.json,9,2,3,0,0,0,"{""1"": 1564, ""2"": 3175}",[]
gsm8k_0120,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0120_trace.json,19,4,5,0,0,0,"{""1"": 1455, ""2"": 3010, ""3"": 3061, ""4"": 3069}","[""140"", ""140"", ""140""]"
gsm8k_0121,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0121_trace.json,25,4,8,1,3,0,"{""1"": 1562, ""2"": 6722, ""3"": 3031, ""4"": 2967}","[""280"", ""280"", ""280""]"
gsm8k_0122,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0122_trace.json,9,2,3,0,0,0,"{""1"": 1625, ""2"": 3571}",[]
gsm8k_0123,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0123_trace.json,9,2,3,0,0,0,"{""1"": 1777, ""2"": 3404}",[]
gsm8k_0124,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0124_trace.json,14,3,4,0,0,1,"{""1"": 1578, ""2"": 3665, ""3"": 3986}","[""25"", ""25"", ""25""]"
gsm8k_0125,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0125_trace.json,9,2,3,0,0,0,"{""1"": 1608, ""2"": 3290}",[]
gsm8k_0126,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0126_trace.json,9,2,3,0,0,0,"{""1"": 1450, ""2"": 3021}",[]
gsm8k_0127,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0127_trace.json,9,2,3,0,0,0,"{""1"": 1501, ""2"": 3001}",[]
gsm8k_0128,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0128_trace.json,19,4,5,0,0,0,"{""1"": 1969, ""2"": 3360, ""3"": 3462, ""4"": 3409}","[""55"", ""55"", ""55""]"
gsm8k_0129,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0129_trace.json,14,3,4,0,0,0,"{""1"": 1747, ""2"": 3198, ""3"": 3202}","[""6"", ""6"", ""6""]"
gsm8k_0130,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0130_trace.json,20,3,7,1,2,0,"{""1"": 1567, ""2"": 6485, ""3"": 4016}","[""25"", ""25"", ""25""]"
gsm8k_0131,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0131_trace.json,9,2,3,0,0,0,"{""1"": 1592, ""2"": 3060}",[]
gsm8k_0132,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0132_trace.json,20,3,7,1,2,0,"{""1"": 1832, ""2"": 7709, ""3"": 4111}","[""420"", ""420"", ""420""]"
gsm8k_0133,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0133_trace.json,9,2,3,0,0,0,"{""1"": 1505, ""2"": 2943}",[]
gsm8k_0134,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0134_trace.json,9,2,3,0,0,0,"{""1"": 1837, ""2"": 3029}",[]
gsm8k_0135,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0135_trace.json,15,2,6,1,1,0,"{""1"": 1601, ""2"": 7687}",[]
